Arrival Time,Event,Time,Details
4838.47813564628,Arrival,4838.47813564628,Passenger arrived
4838.47813564628,Process Start,4838.47813564628,Starting process for passenger
4861.007909035925,Arrival,4861.007909035925,Passenger arrived
4861.007909035925,Process Start,4861.007909035925,Starting process for passenger
4927.061867710403,Arrival,4927.061867710403,Passenger arrived
4927.061867710403,Process Start,4927.061867710403,Starting process for passenger
4838.47813564628,Check-in,5106.44815848571,B. service time:267.97002283943027
4861.007909035925,Check-in,5117.4127605347585,C. service time:256.40485149883386
4838.47813564628,Security Screening,5106.44815848571,Screening completed in 216.6383384757562 seconds
4838.47813564628,Boarding,5323.086496961467,Boarded flight successfully
4927.061867710403,Check-in,5401.489112741022,C. service time:284.0763522062635
4927.061867710403,Security Screening,5401.489112741022,Screening completed in 220.39523071069476 seconds
4927.061867710403,Boarding,5621.884343451717,Boarded regional flight successfully
4861.007909035925,Security Screening,5117.4127605347585,Screening completed in 604.665095848048 seconds
4861.007909035925,Boarding,5722.077856382806,Boarded regional flight successfully
9435.682368664071,Arrival,9435.682368664071,Passenger arrived
9435.682368664071,Process Start,9435.682368664071,Starting process for passenger
9435.682368664071,Check-in,9766.275891461295,B. service time:330.59352279722367
9435.682368664071,Security Screening,9766.275891461295,Screening completed in 46.77431536876862 seconds
9435.682368664071,Boarding,9813.050206830063,Boarded flight successfully
13519.44078680171,Arrival,13519.44078680171,Passenger arrived
13519.44078680171,Process Start,13519.44078680171,Starting process for passenger
13519.44078680171,Check-in,13863.043680381972,C. service time:343.6028935802615
13519.44078680171,Security Screening,13863.043680381972,Screening completed in 275.6478699123518 seconds
13519.44078680171,Boarding,14138.691550294323,Boarded flight successfully
17985.290285653453,Arrival,17985.290285653453,Passenger arrived
17985.290285653453,Process Start,17985.290285653453,Starting process for passenger
17985.290285653453,Check-in,18163.094221118117,C. service time:177.8039354646628
17985.290285653453,Security Screening,18163.094221118117,Screening completed in 196.98984502992315 seconds
17985.290285653453,Boarding,18360.08406614804,Boarded flight successfully
23012.565592233805,Arrival,23012.565592233805,Passenger arrived
23012.565592233805,Process Start,23012.565592233805,Starting process for passenger
23012.565592233805,Check-in,23461.89066259074,B. service time:449.3250703569353
23012.565592233805,Security Screening,23461.89066259074,Screening completed in 187.8886621921047 seconds
23012.565592233805,Boarding,23649.779324782845,Boarded flight successfully
27539.521587081013,Arrival,27539.521587081013,Passenger arrived
27539.521587081013,Process Start,27539.521587081013,Starting process for passenger
27558.199350709147,Arrival,27558.199350709147,Passenger arrived
27558.199350709147,Process Start,27558.199350709147,Starting process for passenger
27539.521587081013,Check-in,27783.665340756033,C. service time:244.1437536750197
27784.933333651134,Arrival,27784.933333651134,Passenger arrived
27784.933333651134,Process Start,27784.933333651134,Starting process for passenger
27805.504654829736,Arrival,27805.504654829736,Passenger arrived
27805.504654829736,Process Start,27805.504654829736,Starting process for passenger
27539.521587081013,Security Screening,27783.665340756033,Screening completed in 134.1769364075378 seconds
27539.521587081013,Boarding,27917.84227716357,Boarded flight successfully
27558.199350709147,Check-in,28675.9168531588,C. service time:892.251512402768
27784.933333651134,Check-in,28769.003788765156,C. service time:93.08693560635427
27784.933333651134,Security Screening,28769.003788765156,Screening completed in 2.5525527229613174 seconds
27784.933333651134,Boarding,28771.556341488118,Boarded regional flight successfully
27805.504654829736,Check-in,28915.87799211189,C. service time:146.87420334673476
27805.504654829736,Security Screening,28915.87799211189,Screening completed in 129.78195101025742 seconds
27805.504654829736,Boarding,29045.659943122148,Boarded regional flight successfully
27558.199350709147,Security Screening,28675.9168531588,Screening completed in 776.2742837290905 seconds
27558.199350709147,Boarding,29452.19113688789,Boarded regional flight successfully
31835.69151472605,Arrival,31835.69151472605,Passenger arrived
31835.69151472605,Process Start,31835.69151472605,Starting process for passenger
31835.69151472605,Check-in,32187.938734773372,C. service time:352.24722004731854
31835.69151472605,Security Screening,32187.938734773372,Screening completed in 66.41484605654603 seconds
31835.69151472605,Boarding,32254.353580829917,Boarded flight successfully
36648.07584671211,Arrival,36648.07584671211,Passenger arrived
36648.07584671211,Process Start,36648.07584671211,Starting process for passenger
36811.24524089535,Arrival,36811.24524089535,Passenger arrived
36811.24524089535,Process Start,36811.24524089535,Starting process for passenger
36648.07584671211,Check-in,37035.12989506781,C. service time:387.05404835569834
36648.07584671211,Security Screening,37035.12989506781,Screening completed in 19.548637018867066 seconds
36648.07584671211,Boarding,37054.67853208668,Boarded flight successfully
36811.24524089535,Check-in,37443.79360409245,C. service time:408.66370902463535
36811.24524089535,Security Screening,37443.79360409245,Screening completed in 230.78408674504053 seconds
36811.24524089535,Boarding,37674.57769083749,Boarded regional flight successfully
41147.73764497864,Arrival,41147.73764497864,Passenger arrived
41147.73764497864,Process Start,41147.73764497864,Starting process for passenger
41147.73764497864,Check-in,41320.121138766255,B. service time:172.3834937876188
41147.73764497864,Security Screening,41320.121138766255,Screening completed in 345.6462557122558 seconds
41147.73764497864,Boarding,41665.76739447851,Boarded flight successfully
45974.487199421914,Arrival,45974.487199421914,Passenger arrived
45974.487199421914,Process Start,45974.487199421914,Starting process for passenger
46000.99265432593,Arrival,46000.99265432593,Passenger arrived
46000.99265432593,Process Start,46000.99265432593,Starting process for passenger
46076.199912505384,Arrival,46076.199912505384,Passenger arrived
46076.199912505384,Process Start,46076.199912505384,Starting process for passenger
46106.66217531645,Arrival,46106.66217531645,Passenger arrived
46106.66217531645,Process Start,46106.66217531645,Starting process for passenger
45974.487199421914,Check-in,46186.38250674071,B. service time:211.89530731879756
45974.487199421914,Security Screening,46186.38250674071,Screening completed in 0.9001906888798371 seconds
45974.487199421914,Boarding,46187.28269742959,Boarded flight successfully
46296.12698235298,Arrival,46296.12698235298,Passenger arrived
46296.12698235298,Process Start,46296.12698235298,Starting process for passenger
46319.78519768345,Arrival,46319.78519768345,Passenger arrived
46319.78519768345,Process Start,46319.78519768345,Starting process for passenger
46342.458932053356,Arrival,46342.458932053356,Passenger arrived
46342.458932053356,Process Start,46342.458932053356,Starting process for passenger
